window_start,window_end,base_VaR_95,stress_VaR_95,delta_VaR_95,base_ES_95,stress_ES_95,delta_ES_95,base_Drawdown,stress_Drawdown,delta_Drawdown,base_sector.Consumer,base_sector.Energy,base_sector.Finance,base_sector.IT,base_sector.Pharma,stress_sector.Consumer,stress_sector.Energy,stress_sector.Finance,stress_sector.IT,stress_sector.Pharma,delta_sector.Consumer,delta_sector.Energy,delta_sector.Finance,delta_sector.IT,delta_sector.Pharma
2004-09-21,2006-09-21,0.01841863138821185,0.027609866600923762,0.009191235212711913,0.031517939985073816,0.014510558004061803,-0.017007381981012013,-0.27269727723309245,-0.06517673259153238,0.20752054464156006,0.00030999891998892474,0.0009587489218234843,0.0004458613267423748,0.0002864343701333257,0.0003123356310180785,0.0006113863110919927,0.041997751127120744,0.0009287980270943712,0.004308356800061649,0.0004955848934730429,0.0003013873911030679,0.04103900220529726,0.00048293670035199645,0.004021922429928324,0.0001832492624549644
2004-10-20,2006-10-23,0.018385493438411674,0.027620601316309355,0.009235107877897681,0.03150449494399649,0.014501599810724537,-0.017002895133271956,-0.2719783385943342,-0.06514554932519084,0.20683278926914334,0.0003219152163208608,0.00095644714368119,0.00045893777828713144,0.0003058409398517131,0.0002984823875186487,0.0006207543975486008,0.041993441057922666,0.000935716673090893,0.004317568716789485,0.0004802373750289283,0.00029883918122773997,0.041036993914241475,0.00047677889480376154,0.0040117277769377725,0.0001817549875102796
2004-11-18,2006-11-23,0.01838141449591731,0.027591237847664485,0.009209823351747175,0.031538639948471656,0.014434012395110132,-0.017104627553361524,-0.27236469368772404,-0.06477976292938752,0.2075849307583365,0.00028278003054993785,0.0009542893536722588,0.00048585882195272136,0.00032914077960956013,0.00030233318737728405,0.0005782936472926873,0.04198885389388156,0.000948791481916422,0.004332803709679812,0.00047831178397307166,0.0002955136167427495,0.041034564540209297,0.0004629326599637006,0.0040036629300702516,0.0001759785965957876
2004-12-17,2006-12-22,0.02080851776373141,0.025201388466321067,0.004392870702589657,0.03210181045483205,0.013908095775220428,-0.01819371467961162,-0.2731383267783615,-0.06436230215801736,0.20877602462034411,0.00024267636599898418,0.0009013400302460302,0.0004166789630043122,0.00034547434929160586,0.00030308914052187293,0.00054297004462396,0.04194620048342431,0.0008849834172761091,0.004363741800752285,0.00048126933303862136,0.00030029367862497575,0.04104486045317828,0.00046830445427179684,0.004018267451460679,0.00017818019251674842
2005-01-17,2007-01-24,0.01862671764209413,0.02736884284063516,0.00874212519854103,0.03183446195986499,0.014161098522864301,-0.017673363437000687,-0.27334587465671134,-0.06424990675065652,0.20909596790605484,0.0002555069380767127,0.0009494353516737267,0.00044814346350389626,0.00040471470566557754,0.0003531033837321392,0.0005555808331508978,0.04198971058894122,0.0009184183167619985,0.004417277289331711,0.0005254772971955132,0.00030007389507418516,0.0410402752372675,0.00047027485325810227,0.0040125625836661336,0.00017237391346337403
2005-02-17,2007-02-27,0.020347285830156235,0.025662066061597235,0.005314780231441,0.03202578101569868,0.013983570876054794,-0.01804221013964389,-0.27191883674694006,-0.06964804200968347,0.2022707947372566,0.00025508713504225855,0.000883240374004814,0.00036766529988381037,0.00035628617218196046,0.0003345562426678046,0.0005531829322525689,0.041923345594372774,0.0008442218939577157,0.004374633012249036,0.0005108036827020257,0.00029809579721031036,0.04104010522036796,0.00047655659407390535,0.004018346840067076,0.00017624744003422106
2005-03-18,2007-03-29,0.021531397106835718,0.024543907264721512,0.003012510157885794,0.03316530494115528,0.01290999943040195,-0.02025530551075333,-0.27305884257165147,-0.06582265965713724,0.20723618291451423,0.00023793189214531838,0.0008947019328857644,0.00032898800064001316,0.0003296781064412494,0.0003302968919923531,0.0005423172165239451,0.0419391451762015,0.0008236167341113554,0.004374021770146127,0.0005178002986789991,0.0003043853243786267,0.041044443243315736,0.0004946287334713423,0.004044343663704878,0.000187503406686646
2005-04-20,2007-04-30,0.021620527713593556,0.024426886146942692,0.002806358433349136,0.03348254657646002,0.01256486728407622,-0.0209176792923838,-0.27265672959638626,-0.0663612342218383,0.20629549537454794,0.00026655466622860886,0.0009674022402395131,0.000401136360142297,0.00039505610492476145,0.0003887879534661914,0.0005668369971323956,0.042005903242982506,0.0008954491015707013,0.00442902432733591,0.000569137516516106,0.0003002823309037867,0.04103850100274299,0.0004943127414284042,0.004033968222411149,0.00018034956304991459
2005-05-19,2007-05-31,0.021763332079255827,0.024303709041922732,0.002540376962666905,0.0335216842325924,0.012545356888586164,-0.020976327344006236,-0.27235312394868566,-0.06780800717452508,0.2045451167741606,0.0002725874502617251,0.0009787250377899716,0.00043835281512495303,0.0003697970502038697,0.00035346530613034836,0.0005732647595818192,0.04202461933356053,0.0009398951393285914,0.004399472911525541,0.000542716636692947,0.00030067730932009407,0.04104589429577056,0.0005015423242036383,0.004029675861321671,0.00018925133056259865
2005-06-17,2007-06-29,0.021645059154384704,0.02445079673447651,0.002805737580091807,0.03355583655811876,0.012540019330742454,-0.021015817227376304,-0.2727001339690569,-0.06812419395798967,0.20457594001106721,0.00024412553599576422,0.0009637251229406812,0.00043744797812334863,0.0003203970814688297,0.000325196301083769,0.0005501812169837055,0.04201621934343361,0.0009464293552064155,0.004355361687830801,0.0005185563050190674,0.00030605568098794123,0.041052494220492924,0.000508981377083067,0.004034964606361971,0.00019336000393529838
