window_start,window_end,VaR_95,ES_95,Max_Drawdown,Sector_Contributions
2005-07-18,2007-07-30,0.024262545422884908,0.0124065892055622,-0.06776210054369328,"{'Consumer': 0.0005428151112132197, 'Energy': 0.04200559692806689, 'Finance': 0.000934238725431664, 'IT': 0.004350494168406581, 'Pharma': 0.00045370894122321784}"
2005-08-17,2007-08-29,0.0018247688571990765,0.007221098116538604,-0.04560110656566438,"{'Consumer': 0.005410527494749481, 'Energy': 0.004708972505657451, 'Finance': 0.006039303090442184, 'IT': 0.004774297570938101, 'Pharma': 0.0045924509713940725}"
2005-09-16,2007-09-27,0.0019415454170546521,0.007124319407891979,-0.045363552900984885,"{'Consumer': 0.005322379611943375, 'Energy': 0.004791115941375418, 'Finance': 0.006159082172773223, 'IT': 0.0048231053568159885, 'Pharma': 0.004603941849104873}"
2005-10-18,2007-10-29,0.002218373245189023,0.006326740565799459,-0.0434352776507758,"{'Consumer': 0.005096928364966015, 'Energy': 0.005327975043636731, 'Finance': 0.006712874896432607, 'IT': 0.004715795987499543, 'Pharma': 0.00467570169921461}"
2005-11-21,2007-11-28,0.002174138051989372,0.006701638270483586,-0.04318497383425902,"{'Consumer': 0.005025609672530063, 'Energy': 0.005387253295428114, 'Finance': 0.006798581914030807, 'IT': 0.004671979466178484, 'Pharma': 0.004556052624782461}"
2005-12-20,2007-12-31,0.0024329273360626635,0.006716708535002307,-0.042310297186026025,"{'Consumer': 0.004855054914253824, 'Energy': 0.005669635880729814, 'Finance': 0.006851304669129738, 'IT': 0.0048203012683227355, 'Pharma': 0.004615879950344069}"
2006-01-19,2008-01-29,0.05325548180805514,0.06396969838801779,-0.9999990033765234,"{'Consumer': -0.004675446019839069, 'Energy': -0.006049078198804406, 'Finance': -0.006288414922569996, 'IT': -0.005087831563394897, 'Pharma': -0.00487527702869185}"
2006-02-21,2008-02-27,0.05466420649234646,0.06546426693351176,-0.9999994047692403,"{'Consumer': -0.004760804460488805, 'Energy': -0.006508527790873419, 'Finance': -0.006429548936769321, 'IT': -0.005341420200175833, 'Pharma': -0.004932266545009787}"
2006-03-23,2008-04-01,0.05817754805935983,0.06884965617158945,-0.9999997611942102,"{'Consumer': -0.004600881902414093, 'Energy': -0.006964926608848754, 'Finance': -0.007320708006699224, 'IT': -0.0058577257062584894, 'Pharma': -0.004990837422500926}"
2006-04-26,2008-05-05,0.05815497093660325,0.06886487102741184,-0.9999997474158382,"{'Consumer': -0.004514989987093184, 'Energy': -0.006963046241995842, 'Finance': -0.007349406723958888, 'IT': -0.005877427354898924, 'Pharma': -0.004885476435901415}"
2006-05-26,2008-06-04,0.05701201581053586,0.06688543301511485,-0.9999996664546196,"{'Consumer': -0.004208314446492533, 'Energy': -0.006899798252386059, 'Finance': -0.007512608319191524, 'IT': -0.005787885083704367, 'Pharma': -0.004658889385245672}"
2006-06-26,2008-07-03,0.054586189762249895,0.0645182566332938,-0.9999994472737257,"{'Consumer': -0.0037226190730037857, 'Energy': -0.006687053242327057, 'Finance': -0.007703299993206824, 'IT': -0.005862379456863689, 'Pharma': -0.004202026748018618}"
2006-07-25,2008-08-01,0.05653363052297062,0.06568046669524513,-0.9999995895560446,"{'Consumer': -0.0034083777565744014, 'Energy': -0.006817164442712959, 'Finance': -0.008449459342303428, 'IT': -0.005987104151185931, 'Pharma': -0.00399725793160351}"
